tkt_id,player_id,ticket_no,tkt_amt,purchase_time,win_amt,channel_id,channel_name,purchase_trans_id,win_trans_id
784068,37602,7.84068E+11,40,51:10.2,100,2,WEB,185857,201255
784071,37602,7.84071E+11,40,51:18.6,1000,2,WEB,185859,201257
784072,37602,7.84072E+11,40,51:18.7,100,2,WEB,185860,201266
784073,37602,7.84073E+11,40,51:18.8,100,2,WEB,185861,201267
784187,37602,7.84187E+11,40,54:27.1,100,2,WEB,185865,201271
784188,37602,7.84188E+11,40,54:27.2,100,2,WEB,185866,201272
784246,37332,7.84246E+11,40,55:51.8,100,2,WEB,185868,201273
784247,37332,7.84247E+11,40,55:51.9,100,2,WEB,185869,201274
784249,37332,7.84249E+11,40,55:52.0,100,2,WEB,185870,201275
784250,37332,7.8425E+11,40,55:52.0,100,2,WEB,185871,201276
784329,37293,078432900774,40,57:31.2,100,2,WEB,185875,201277
784371,25104,7.84371E+11,40,58:29.8,100,2,WEB,185877,201278
784456,37332,078445600665,40,00:36.4,100,2,WEB,185881,201279
784582,24063,7.84582E+11,40,03:19.7,100,2,WEB,185892,201288
784810,37182,7.8481E+11,40,09:09.3,100,2,WEB,185908,201298
785284,25104,7.85284E+11,40,20:59.8,100,2,WEB,185952,201326
785372,24085,7.85372E+11,40,23:08.5,100,2,WEB,185972,201341
785383,24085,078538300217,40,23:26.2,100,2,WEB,185973,201342
785384,24085,7.85384E+11,40,23:26.3,100,2,WEB,185974,201361
785385,24085,7.85385E+11,40,23:26.3,100,2,WEB,185975,201363
785386,24085,7.85386E+11,40,23:26.4,100,2,WEB,185976,201364
785387,24085,7.85387E+11,40,23:26.4,100,2,WEB,185977,201365
785388,24085,7.85388E+11,40,23:26.5,100,2,WEB,185978,201366
785389,24085,078538900577,40,23:26.5,100,2,WEB,185979,201368
785390,24085,7.8539E+11,40,23:26.6,100,2,WEB,185980,201369
785391,24085,7.85391E+11,40,23:26.6,100,2,WEB,185981,201371
785471,37572,078547100962,40,25:32.3,100,2,WEB,185995,201393
785472,37572,7.85472E+11,40,25:32.3,100,2,WEB,185996,201396
785473,37572,7.85473E+11,40,25:32.4,100,2,WEB,185997,201397
785474,37572,7.85474E+11,40,25:32.4,100,2,WEB,185998,201398
785475,37572,7.85475E+11,40,25:32.5,100,2,WEB,185999,201399
785579,25104,7.85579E+11,40,29:15.8,100,2,WEB,186008,201409
785779,37726,7.85779E+11,40,35:08.8,100,2,WEB,186034,201462
785780,37726,7.8578E+11,40,35:08.8,100,2,WEB,186035,201463
785815,25104,7.85815E+11,40,36:15.3,100,2,WEB,186040,201466
786483,37296,7.86483E+11,40,09:56.8,100,2,WEB,186125,201870
786486,37466,7.86486E+11,40,11:38.4,100,2,WEB,186129,201894
786487,37466,7.86487E+11,40,11:38.4,100,2,WEB,186130,201912
786488,37466,7.86488E+11,40,11:38.5,100,2,WEB,186131,201920
786489,37466,7.86489E+11,40,11:38.5,100,2,WEB,186132,201933
786490,37466,7.8649E+11,40,11:38.6,100,2,WEB,186133,201944
786491,37466,7.86491E+11,40,11:38.6,100,2,WEB,186134,201975
786492,37466,7.86492E+11,40,11:38.7,100,2,WEB,186135,202003
786493,37466,7.86493E+11,40,11:38.7,100,2,WEB,186136,202011
786494,37466,7.86494E+11,40,11:38.8,100,2,WEB,186137,202042
786495,37466,7.86495E+11,40,11:38.8,100,2,WEB,186138,202052
786498,37713,7.86498E+11,40,16:26.2,100,2,WEB,186149,202056
786499,37713,7.86499E+11,40,16:36.9,100,2,WEB,186150,202058
786500,37713,7.865E+11,40,16:36.9,100,2,WEB,186151,202063
786501,37713,7.86501E+11,40,16:37.0,100,2,WEB,186152,202076
786502,37713,7.86502E+11,40,16:37.0,100,2,WEB,186153,202097
786506,37710,7.86506E+11,40,18:11.1,100,2,WEB,186158,202117
786509,37710,7.86509E+11,40,20:39.7,100,2,WEB,186164,202152
786510,37710,7.8651E+11,40,20:39.8,100,2,WEB,186165,202177
786511,37710,7.86511E+11,40,20:39.8,100,2,WEB,186166,202200
786512,37713,7.86512E+11,40,20:43.5,100,2,WEB,186167,202217
786513,37655,7.86513E+11,40,21:32.6,100,2,WEB,186169,202225
786514,37655,7.86514E+11,40,21:42.5,1000,2,WEB,186170,202232
786515,37655,7.86515E+11,40,21:42.6,100,2,WEB,186171,202233
786516,37655,7.86516E+11,40,21:42.6,100,2,WEB,186172,202235
786517,37655,7.86517E+11,40,21:42.7,100,2,WEB,186173,202238
786518,37655,078651800848,40,21:42.7,100,2,WEB,186174,202247
786519,37655,7.86519E+11,40,21:42.7,100,2,WEB,186175,202249
786520,37655,7.8652E+11,40,21:42.8,100,2,WEB,186176,202252
786521,37655,7.86521E+11,40,21:42.8,100,2,WEB,186177,202265
786522,37655,7.86522E+11,40,21:42.9,100,2,WEB,186178,202284
786523,37655,7.86523E+11,40,21:42.9,100,2,WEB,186179,202299
786524,37655,7.86524E+11,40,21:59.7,100,2,WEB,186181,202342
786525,37655,7.86525E+11,40,21:59.8,100,2,WEB,186182,202358
786526,37655,7.86526E+11,40,21:59.8,100,2,WEB,186183,202374
786527,37655,7.86527E+11,40,21:59.8,100,2,WEB,186184,202382
786528,37655,7.86528E+11,40,21:59.9,100,2,WEB,186185,202384
786529,37655,7.86529E+11,40,21:59.9,100,2,WEB,186186,202386
786530,37655,7.8653E+11,40,22:00.0,100,2,WEB,186187,202398
786531,37655,7.86531E+11,40,22:00.2,100,2,WEB,186188,202403
786532,37655,7.86532E+11,40,22:00.3,100,2,WEB,186189,202408
786533,37655,7.86533E+11,40,22:00.3,100,2,WEB,186190,202436
786534,37655,7.86534E+11,40,22:09.6,100,2,WEB,186191,202442
786535,37655,7.86535E+11,40,22:09.6,100,2,WEB,186192,202457
786536,37655,7.86536E+11,40,22:09.6,100,2,WEB,186193,202461
786537,37655,7.86537E+11,40,22:09.7,100,2,WEB,186194,202485
786538,37710,7.86538E+11,40,22:18.9,100,2,WEB,186195,202486
786548,37690,7.86548E+11,40,30:45.2,100,2,WEB,186217,202611
786549,37690,7.86549E+11,40,30:45.2,100,2,WEB,186218,202614
786550,37690,7.8655E+11,40,30:45.3,100,2,WEB,186219,202619
786551,37690,078655100456,40,30:45.4,100,2,WEB,186220,202622
786552,37690,7.86552E+11,40,30:45.4,100,2,WEB,186222,202629
786554,37032,7.86554E+11,40,32:37.9,100,2,WEB,186226,202639
786555,37032,7.86555E+11,40,32:37.9,100,2,WEB,186227,202659
786573,37530,7.86573E+11,40,48:04.6,100,2,WEB,186263,202788
786574,37530,7.86574E+11,40,48:04.6,100,2,WEB,186264,202794
786575,37530,7.86575E+11,40,48:04.6,100,2,WEB,186265,202796
786576,37530,7.86576E+11,40,48:04.7,100,2,WEB,186266,202797
786580,37584,7.8658E+11,40,49:07.5,100,2,WEB,186272,202808
786581,37750,7.86581E+11,40,50:38.1,100,2,WEB,186274,202811
786583,37750,7.86583E+11,40,51:48.1,100,2,WEB,186278,186278
786584,37750,7.86584E+11,40,51:48.2,100,2,WEB,186279,202825
786585,37750,7.86585E+11,40,51:48.2,100,2,WEB,186280,186280
786586,37750,7.86586E+11,40,51:48.3,100,2,WEB,186281,186281
786587,37750,7.86587E+11,40,51:48.3,100,2,WEB,186282,202830
786588,37750,7.86588E+11,40,51:48.3,100,2,WEB,186283,186283
786589,37750,7.86589E+11,40,51:48.4,100,2,WEB,186284,202839
786590,37750,7.8659E+11,40,51:48.5,100,2,WEB,186285,202842
786591,37750,078659100787,40,51:48.6,100,2,WEB,186286,202843
786592,37750,7.86592E+11,40,51:48.6,100,2,WEB,186287,202845
786601,37058,7.86601E+11,40,19:36.9,100,2,WEB,186319,202864
786602,37058,7.86602E+11,40,19:37.0,100,2,WEB,186320,202865
786603,37053,7.86603E+11,40,37:54.3,100,2,WEB,186321,202866
786604,37678,7.86604E+11,40,45:19.8,100,2,WEB,186322,202867
786605,24679,7.86605E+11,40,52:24.9,100,2,WEB,186323,202868
786606,24679,7.86606E+11,40,52:33.2,100,2,WEB,186324,202869
786607,24679,7.86607E+11,40,52:37.8,100,2,WEB,186325,186325
786608,24679,7.86608E+11,40,52:42.8,100,2,WEB,186326,202872
786609,37753,7.86609E+11,40,28:08.7,100,2,WEB,186902,186902
786610,37100,078661000728,40,36:05.8,100,2,WEB,186903,202874
786611,37333,7.86611E+11,40,53:41.3,100,2,WEB,186904,202875
786612,37333,7.86612E+11,40,53:41.3,100,2,WEB,186905,202876
786613,37333,7.86613E+11,40,53:41.4,100,2,WEB,186906,202877
786614,37366,7.86614E+11,40,43:22.9,100,2,WEB,186907,202878
786615,37541,7.86615E+11,40,27:16.2,100,2,WEB,186908,202879
786616,37541,7.86616E+11,40,27:16.3,100,2,WEB,186909,202881
786617,37541,7.86617E+11,40,27:16.3,100,2,WEB,186910,202882
786618,37541,7.86618E+11,40,27:16.4,100,2,WEB,186911,202883
786619,37541,078661900138,40,27:16.4,100,2,WEB,186912,202884
786621,27875,7.86621E+11,40,34:14.8,100,2,WEB,186914,186914
786622,25809,7.86622E+11,40,35:01.7,100,2,WEB,186915,202887
786623,24679,7.86623E+11,40,35:26.8,100,2,WEB,186916,202888
786624,25809,7.86624E+11,40,35:30.3,100,2,WEB,186917,202889
814872,24063,8.14872E+11,40,30:29.5,100,2,WEB,188149,202893
814873,24073,081487300225,40,31:37.3,100,2,WEB,188150,201258
814880,31631,081488000891,40,34:32.0,100,2,WEB,188233,202895
814886,37455,8.14886E+11,40,36:54.5,100,2,WEB,188243,202641
814918,37795,8.14918E+11,40,45:00.1,100,2,WEB,188430,202935
814919,37795,8.14919E+11,40,45:00.1,100,2,WEB,188431,202936
815063,37363,8.15063E+11,40,24:11.8,100,2,WEB,188758,203729
815064,37363,8.15064E+11,40,24:11.8,100,2,WEB,188759,203730
815065,37363,8.15065E+11,40,24:11.9,100,2,WEB,188760,203731
815066,37363,8.15066E+11,40,24:11.9,100,2,WEB,188761,203732
815067,37363,8.15067E+11,40,24:12.0,100,2,WEB,188762,203733
815143,37206,8.15143E+11,40,18:53.2,100,2,WEB,188809,203877
815145,37206,081514500235,40,19:43.4,100,2,WEB,188810,203878
815170,37418,8.1517E+11,40,05:10.5,100,2,WEB,188836,202608
815221,32241,081522100283,40,43:13.0,100,2,WEB,188903,204130
815330,37485,8.1533E+11,40,57:22.8,100,2,WEB,189061,201861
815331,37485,8.15331E+11,40,57:22.9,100,2,WEB,189062,201842
815332,37485,8.15332E+11,40,57:22.9,100,2,WEB,189063,201795
815333,37485,8.15333E+11,40,57:23.0,100,2,WEB,189064,201774
815334,37485,081533400658,40,57:23.0,100,2,WEB,189065,201756
815335,37407,8.15335E+11,40,03:00.1,100,2,WEB,189066,204516
815336,37407,8.15336E+11,40,03:26.3,100,2,WEB,189067,204517
815337,37407,8.15337E+11,40,03:26.3,100,2,WEB,189068,204518
815338,37407,8.15338E+11,40,11:56.4,100,2,WEB,189070,204519
815339,37407,8.15339E+11,40,12:01.3,100,2,WEB,189071,204520
815340,37407,8.1534E+11,40,12:01.3,100,2,WEB,189072,204522
815351,37417,081535100132,40,38:00.7,100,2,WEB,189093,203918
815352,37417,8.15352E+11,40,38:27.1,100,2,WEB,189094,203821
815360,37417,081536000695,40,47:55.5,100,2,WEB,189107,203781
815378,37537,8.15378E+11,40,59:43.7,100,2,WEB,189130,204683
815379,24679,8.15379E+11,40,00:34.1,100,2,WEB,189131,204687
815390,37623,8.1539E+11,40,20:39.5,100,2,WEB,189150,204699
815475,37124,8.15475E+11,40,41:59.3,100,2,WEB,189228,204840
815605,28271,8.15605E+11,40,06:18.0,100,2,WEB,189319,201355
815607,37502,8.15607E+11,40,08:28.9,100,2,WEB,189323,204991
815617,37761,8.15617E+11,40,10:26.8,100,2,WEB,189334,205016
815783,37252,081578300917,40,48:56.7,100,2,WEB,189582,202977
815838,37735,8.15838E+11,40,57:50.0,100,2,WEB,189625,204788
815849,37121,8.15849E+11,40,58:49.8,100,2,WEB,189641,205548
815914,37245,8.15914E+11,40,03:32.6,100,2,WEB,189701,201768
816009,36954,8.16009E+11,40,11:07.7,100,2,WEB,189766,205760
816010,36954,8.1601E+11,40,11:07.7,100,2,WEB,189767,205764
816011,36954,8.16011E+11,40,11:07.7,100,2,WEB,189768,205766
816012,36954,8.16012E+11,40,11:07.8,100,2,WEB,189769,205767
816158,37209,8.16158E+11,40,25:39.4,100,2,WEB,189878,201636
816167,36889,8.16167E+11,40,25:59.7,100,2,WEB,189889,205924
816168,36889,8.16168E+11,40,25:59.7,100,2,WEB,189890,205925
816169,36889,081616900956,40,25:59.8,100,2,WEB,189891,205926
816170,36889,8.1617E+11,40,25:59.8,100,2,WEB,189892,205927
816171,36889,081617100592,40,25:59.8,100,2,WEB,189895,205928
816176,36889,8.16176E+11,40,26:28.2,100,2,WEB,189899,205932
816177,36889,081617700208,40,26:28.3,100,2,WEB,189900,205933
816178,36889,8.16178E+11,40,26:28.3,100,2,WEB,189901,205934
816179,36889,081617900212,40,26:28.3,100,2,WEB,189902,205935
816180,36889,081618000505,40,26:28.4,100,2,WEB,189903,205936
816298,37559,081629800427,40,37:34.2,100,2,WEB,190006,206130
816308,25104,8.16308E+11,40,38:39.8,100,2,WEB,190015,206136
816354,25809,8.16354E+11,40,45:04.8,100,6,WEB (QR CODE),NULL,204004
816355,25809,8.16355E+11,0,45:04.8,1000,6,WEB (QR CODE),NULL,237918
816356,25809,8.16356E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816357,25809,8.16357E+11,0,45:04.8,100,6,WEB (QR CODE),NULL,366582
816358,25809,081635800105,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816359,25809,8.16359E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816360,25809,8.1636E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816361,25809,8.16361E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816362,25809,8.16362E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816363,25809,8.16363E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816364,25809,8.16364E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816365,25809,8.16365E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816366,25809,8.16366E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816367,25809,8.16367E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
816368,25809,8.16368E+11,0,45:04.8,0,6,WEB (QR CODE),NULL,NULL
