trans_id,trans_type_id,trans_name,trans_amt,trans_date,player_id,rem_type,rem_type_name
120484,6,Online Deposit,40,3/2/2024,24052,1,Credit
120487,6,Online Deposit,50,3/2/2024,24063,1,Credit
120495,6,Online Deposit,200,3/2/2024,24068,1,Credit
120509,6,Online Deposit,50,3/2/2024,24071,1,Credit
120511,6,Online Deposit,50,3/2/2024,24073,1,Credit
120570,6,Online Deposit,100,3/2/2024,24077,1,Credit
120658,6,Online Deposit,400,3/3/2024,24085,1,Credit
122090,6,Online Deposit,400,3/5/2024,24679,1,Credit
122174,6,Online Deposit,50,3/5/2024,24825,1,Credit
124976,6,Online Deposit,50,3/7/2024,25064,1,Credit
125594,6,Online Deposit,50,3/7/2024,25104,1,Credit
125751,6,Online Deposit,40,3/7/2024,25080,1,Credit
125768,6,Online Deposit,40,3/7/2024,25112,1,Credit
125771,6,Online Deposit,40,3/7/2024,25114,1,Credit
125807,6,Online Deposit,40,3/7/2024,25117,1,Credit
125835,6,Online Deposit,50,3/7/2024,25122,1,Credit
125839,6,Online Deposit,40,3/7/2024,25118,1,Credit
125840,6,Online Deposit,40,3/7/2024,25125,1,Credit
125885,6,Online Deposit,40,3/7/2024,25124,1,Credit
126036,6,Online Deposit,40,3/7/2024,25127,1,Credit
126074,6,Online Deposit,50,3/7/2024,25116,1,Credit
126076,6,Online Deposit,40,3/7/2024,25121,1,Credit
126077,6,Online Deposit,40,3/7/2024,25119,1,Credit
126103,6,Online Deposit,40,3/7/2024,25126,1,Credit
126104,6,Online Deposit,40,3/7/2024,25132,1,Credit
126106,6,Online Deposit,50,3/7/2024,25111,1,Credit
126111,6,Online Deposit,40,3/7/2024,25130,1,Credit
126114,6,Online Deposit,40,3/7/2024,25133,1,Credit
126120,6,Online Deposit,40,3/7/2024,25113,1,Credit
126123,6,Online Deposit,40,3/7/2024,25135,1,Credit
126125,6,Online Deposit,40,3/7/2024,25131,1,Credit
126145,6,Online Deposit,40,3/7/2024,25134,1,Credit
126146,6,Online Deposit,40,3/7/2024,25129,1,Credit
126147,6,Online Deposit,40,3/7/2024,25137,1,Credit
126156,6,Online Deposit,40,3/7/2024,25120,1,Credit
126168,6,Online Deposit,50,3/7/2024,25138,1,Credit
126185,6,Online Deposit,40,3/7/2024,25146,1,Credit
126186,6,Online Deposit,40,3/7/2024,25140,1,Credit
126187,6,Online Deposit,40,3/7/2024,25145,1,Credit
126202,6,Online Deposit,40,3/7/2024,25149,1,Credit
126203,6,Online Deposit,40,3/7/2024,25148,1,Credit
126206,6,Online Deposit,50,3/7/2024,25150,1,Credit
126210,6,Online Deposit,40,3/7/2024,25147,1,Credit
126217,6,Online Deposit,50,3/7/2024,25156,1,Credit
126219,6,Online Deposit,40,3/7/2024,25104,1,Credit
126224,6,Online Deposit,40,3/7/2024,25161,1,Credit
126225,6,Online Deposit,50,3/7/2024,25154,1,Credit
126226,6,Online Deposit,50,3/7/2024,25155,1,Credit
126229,6,Online Deposit,40,3/7/2024,25162,1,Credit
126234,6,Online Deposit,50,3/7/2024,25164,1,Credit
126238,6,Online Deposit,50,3/7/2024,25157,1,Credit
126242,6,Online Deposit,40,3/7/2024,25171,1,Credit
126252,6,Online Deposit,40,3/7/2024,25165,1,Credit
126253,6,Online Deposit,40,3/7/2024,25167,1,Credit
126255,6,Online Deposit,40,3/7/2024,25166,1,Credit
126256,6,Online Deposit,50,3/7/2024,25151,1,Credit
126263,6,Online Deposit,40,3/7/2024,25168,1,Credit
126269,6,Online Deposit,50,3/7/2024,25158,1,Credit
126270,6,Online Deposit,50,3/7/2024,25152,1,Credit
126271,6,Online Deposit,50,3/7/2024,25170,1,Credit
126287,6,Online Deposit,50,3/7/2024,25174,1,Credit
126291,6,Online Deposit,50,3/7/2024,25169,1,Credit
126300,6,Online Deposit,50,3/7/2024,25177,1,Credit
126308,6,Online Deposit,40,3/7/2024,25184,1,Credit
126309,6,Online Deposit,40,3/7/2024,25185,1,Credit
126310,6,Online Deposit,40,3/7/2024,25181,1,Credit
126312,6,Online Deposit,40,3/7/2024,25188,1,Credit
126316,6,Online Deposit,50,3/7/2024,25176,1,Credit
126327,6,Online Deposit,40,3/7/2024,25189,1,Credit
126333,6,Online Deposit,40,3/7/2024,25193,1,Credit
126339,6,Online Deposit,40,3/7/2024,25190,1,Credit
126343,6,Online Deposit,40,3/7/2024,25191,1,Credit
126348,6,Online Deposit,50,3/7/2024,25200,1,Credit
126357,6,Online Deposit,40,3/7/2024,25202,1,Credit
126361,6,Online Deposit,40,3/7/2024,25195,1,Credit
126362,6,Online Deposit,40,3/7/2024,25196,1,Credit
126366,6,Online Deposit,50,3/7/2024,25206,1,Credit
126368,6,Online Deposit,40,3/7/2024,25212,1,Credit
126388,6,Online Deposit,50,3/7/2024,25217,1,Credit
126389,6,Online Deposit,40,3/7/2024,25214,1,Credit
126391,6,Online Deposit,40,3/7/2024,25218,1,Credit
126467,6,Online Deposit,50,3/7/2024,24441,1,Credit
128338,6,Online Deposit,100,3/8/2024,24840,1,Credit
131305,6,Online Deposit,200,3/9/2024,25650,1,Credit
138474,6,Online Deposit,50,3/11/2024,24063,1,Credit
146342,6,Online Deposit,500,3/14/2024,27060,1,Credit
147421,6,Online Deposit,320,3/14/2024,24070,1,Credit
147687,6,Online Deposit,10,3/14/2024,25104,1,Credit
156311,6,Online Deposit,50,3/16/2024,27875,1,Credit
156852,6,Online Deposit,40,3/17/2024,24088,1,Credit
171989,6,Online Deposit,50,3/25/2024,31275,1,Credit
172803,6,Online Deposit,50,3/27/2024,31633,1,Credit
173694,6,Online Deposit,100,3/28/2024,25070,1,Credit
174545,6,Online Deposit,50,3/29/2024,32241,1,Credit
174546,6,Online Deposit,50,3/29/2024,25104,1,Credit
175570,6,Online Deposit,50,3/30/2024,27540,1,Credit
183940,6,Online Deposit,40,4/10/2024,36418,1,Credit
183998,6,Online Deposit,50,4/10/2024,36629,1,Credit
183999,6,Online Deposit,40,4/10/2024,36634,1,Credit
184000,6,Online Deposit,40,4/10/2024,36647,1,Credit
184001,6,Online Deposit,40,4/10/2024,36655,1,Credit
184578,6,Online Deposit,80,4/11/2024,36672,1,Credit
184586,6,Online Deposit,500,4/11/2024,36690,1,Credit
184628,6,Online Deposit,100,4/11/2024,36706,1,Credit
184630,6,Online Deposit,100,4/11/2024,36706,1,Credit
184635,6,Online Deposit,100,4/11/2024,27586,1,Credit
184686,6,Online Deposit,200,4/11/2024,36787,1,Credit
184690,6,Online Deposit,500,4/11/2024,36805,1,Credit
184691,6,Online Deposit,40,4/11/2024,36816,1,Credit
184694,6,Online Deposit,40,4/11/2024,36826,1,Credit
184705,6,Online Deposit,200,4/11/2024,36886,1,Credit
184706,6,Online Deposit,40,4/11/2024,36887,1,Credit
184707,6,Online Deposit,400,4/11/2024,36889,1,Credit
184708,6,Online Deposit,400,4/11/2024,36884,1,Credit
184709,6,Online Deposit,160,4/11/2024,36899,1,Credit
184712,6,Online Deposit,40,4/11/2024,36897,1,Credit
